log_date,game_date,pitcher_name,team,opp_team,home_team,away_team,pred_k,has_line,book_line,book_side,best_book,best_odds,book_implied,model_prob_book_line,edge_book,pp_line,pp_side,model_prob_pp_line,edge_pp,game_pk,pitcher,actual_k,hit_book_side
2026-06-17,2026-06-16,Payton Tolle,BOS,TOR,BOS,TOR,4.855429243073452,1,5.5,under,novig,-144.0,0.5901639344262295,0.6039635609995458,0.0138,5.0,under,0.6039635609995458,0.0606,824750,801139,6,0
2026-06-17,2026-06-16,Edward Cabrera,CHC,COL,CHC,COL,5.470571249675125,1,5.5,over,prophetx,120.0,0.4545454545454545,0.4646344227761112,0.0101,,,,,824667,665795,3,0
2026-06-17,2026-06-16,Slade Cecconi,CLE,MIL,MIL,CLE,4.537277062482592,1,4.5,over,prophetx,116.0,0.4629629629629629,0.4727993454957506,0.0098,,,,,823775,677944,4,0
2026-06-17,2026-06-16,Foster Griffin,WSH,KC,WSH,KC,5.035566030599862,1,5.5,under,betmgm,-140.0,0.5833333333333334,0.5903283143457628,0.007,5.0,under,0.5903283143457628,0.0469,822723,656492,6,0
2026-06-17,2026-06-16,Brandon Young,BAL,SEA,SEA,BAL,4.387047394722732,1,4.5,over,novig,120.0,0.4545454545454545,0.4546587585424086,0.0001,4.5,under,0.5453412414575913,0.002,823128,687064,2,0
2026-06-17,2026-06-16,Tyler Phillips,MIA,PHI,PHI,MIA,4.097477773068238,1,3.5,over,novig,-139.0,0.5815899581589958,0.5750909620162381,-0.0065,4.0,under,0.6005733984414152,0.0572,823451,663969,4,1
2026-06-17,2026-06-16,Robert Gasser,MIL,CLE,MIL,CLE,4.904268335698279,1,4.5,over,novig,-137.0,0.5780590717299579,0.5465607684704921,-0.0315,5.0,under,0.61132896824868,0.0679,823775,688107,5,1
2026-06-18,2026-06-17,Peter Lambert,HOU,DET,HOU,DET,6.364122284981608,1,5.5,over,novig,153.0,0.3952569169960474,0.5266975507850815,0.1314,5.0,over,0.5266975507850815,-0.0167,824178,663567,5,0
2026-06-18,2026-06-17,Max Scherzer,TOR,BOS,BOS,TOR,4.692347455323853,1,3.5,over,novig,104.0,0.4901960784313725,0.6028778939138495,0.1127,3.5,over,0.6028778939138495,0.0595,824746,453286,-1,-2
2026-06-18,2026-06-17,Shohei Ohtani,LAD,TB,LAD,TB,7.282241326681752,1,6.5,over,betmgm,120.0,0.4545454545454545,0.5308313088212775,0.0763,6.0,over,0.5308313088212775,-0.0125,823940,660271,5,0
2026-06-18,2026-06-17,Jake Bennett,BOS,TOR,BOS,TOR,3.8050152395746553,1,3.5,over,novig,147.0,0.4048582995951417,0.4791841269257424,0.0743,3.0,over,0.4791841269257424,-0.0642,824746,687562,5,1
2026-06-18,2026-06-17,Gavin Williams,CLE,MIL,MIL,CLE,5.874024137276087,1,6.5,under,novig,102.0,0.495049504950495,0.5669808600910711,0.0719,6.5,under,0.5669808600910711,0.0236,823774,668909,4,1
2026-06-18,2026-06-17,Brandon Sproat,MIL,CLE,MIL,CLE,5.256485833508066,1,4.5,over,betrivers,-108.0,0.5192307692307693,0.564412606083728,0.0452,4.5,over,0.564412606083728,0.021,823774,687075,6,1
2026-06-18,2026-06-17,Nick Lodolo,CIN,NYM,CIN,NYM,5.48049163192728,1,5.5,over,novig,144.0,0.4098360655737705,0.4534103326181951,0.0436,5.0,over,0.4534103326181951,-0.09,824503,666157,2,0
2026-06-18,2026-06-17,Aaron Civale,ATH,PIT,ATH,PIT,3.987116169439143,1,3.5,over,novig,105.0,0.4878048780487805,0.5292719297949043,0.0415,3.5,over,0.5292719297949043,-0.0141,824992,650644,2,0
2026-06-18,2026-06-17,Kyle Bradish,BAL,SEA,SEA,BAL,5.665128273040402,1,5.5,over,novig,117.0,0.4608294930875576,0.4896740992850849,0.0288,5.5,under,0.5103259007149151,-0.0331,823127,680694,12,1
2026-06-18,2026-06-17,Casey Mize,DET,HOU,HOU,DET,4.382386199254112,1,4.5,over,prophetx,142.0,0.4132231404958678,0.4414561604390013,0.0282,4.0,over,0.4414561604390013,-0.1019,824178,663554,3,0
2026-06-18,2026-06-17,Sandy Alcantara,MIA,PHI,PHI,MIA,4.537584323742574,1,4.5,under,draftkings,104.0,0.4901960784313725,0.5143321062732688,0.0241,4.5,under,0.5143321062732688,-0.029,823450,645261,6,0
2026-06-18,2026-06-17,Andrew Painter,PHI,MIA,PHI,MIA,4.085897672351146,1,3.5,over,draftkings,-119.0,0.54337899543379,0.5603246326877064,0.0169,4.0,under,0.6155053580956278,0.0721,823450,691725,3,0
2026-06-18,2026-06-17,Zack Littell,WSH,KC,WSH,KC,3.1063425439669947,1,3.5,under,prophetx,-136.0,0.576271186440678,0.5913536130666865,0.0151,3.0,under,0.5913536130666865,0.048,822721,641793,2,1
2026-06-18,2026-06-17,Eduardo Rodriguez,AZ,LAA,AZ,LAA,5.459035350392623,1,4.5,over,fanduel,-144.0,0.5901639344262295,0.6020627439077937,0.0119,5.0,over,0.4456655237132835,-0.0977,825072,593958,5,1
